date,bitcoin,litecoin,ethereum,facebook libra,cryptocurrency,isPartial
2016-07-24,3,0,1,0,0,False
2016-07-31,4,0,0,0,0,False
2016-08-07,3,0,0,0,0,False
2016-08-14,2,0,0,0,0,False
2016-08-21,2,0,0,0,0,False
2016-08-28,2,0,0,0,0,False
2016-09-04,3,0,0,0,0,False
2016-09-11,3,0,0,0,0,False
2016-09-18,3,0,0,0,0,False
2016-09-25,3,0,0,0,0,False
2016-10-02,2,0,0,0,0,False
2016-10-09,3,0,0,0,0,False
2016-10-16,3,0,0,0,0,False
2016-10-23,3,0,0,0,0,False
2016-10-30,3,0,0,0,0,False
2016-11-06,3,0,0,0,0,False
2016-11-13,3,0,0,0,0,False
2016-11-20,3,0,0,0,0,False
2016-11-27,3,0,0,0,0,False
2016-12-04,3,0,0,0,0,False
2016-12-11,3,0,0,0,0,False
2016-12-18,4,0,0,0,0,False
2016-12-25,5,0,0,0,0,False
2017-01-01,7,0,0,0,0,False
2017-01-08,6,0,0,0,0,False
2017-01-15,4,0,0,0,0,False
2017-01-22,4,0,0,0,0,False
2017-01-29,4,0,0,0,0,False
2017-02-05,5,0,0,0,0,False
2017-02-12,4,0,0,0,0,False
2017-02-19,5,0,0,0,0,False
2017-02-26,6,0,1,0,0,False
2017-03-05,7,0,0,0,0,False
2017-03-12,6,0,1,0,0,False
2017-03-19,6,0,1,0,0,False
2017-03-26,5,0,1,0,0,False
2017-04-02,5,0,1,0,0,False
2017-04-09,5,0,1,0,0,False
2017-04-16,5,0,1,0,0,False
2017-04-23,5,0,1,0,0,False
2017-04-30,7,1,2,0,0,False
2017-05-07,10,1,1,0,1,False
2017-05-14,12,0,2,0,1,False
2017-05-21,20,1,5,0,1,False
2017-05-28,13,1,4,0,1,False
2017-06-04,13,1,4,0,1,False
2017-06-11,13,1,7,0,2,False
2017-06-18,11,1,6,0,1,False
2017-06-25,11,1,5,0,1,False
2017-07-02,9,1,3,0,1,False
2017-07-09,11,1,4,0,1,False
2017-07-16,12,1,4,0,1,False
2017-07-23,11,1,3,0,1,False
2017-07-30,15,1,3,0,1,False
2017-08-06,15,1,3,0,1,False
2017-08-13,21,1,3,0,2,False
2017-08-20,16,1,3,0,2,False
2017-08-27,17,2,3,0,2,False
2017-09-03,19,1,3,0,2,False
2017-09-10,22,1,3,0,2,False
2017-09-17,16,1,2,0,2,False
2017-09-24,13,1,2,0,1,False
2017-10-01,13,1,2,0,1,False
2017-10-08,20,1,2,0,2,False
2017-10-15,20,1,3,0,2,False
2017-10-22,21,1,2,0,2,False
2017-10-29,29,1,3,0,2,False
2017-11-05,30,1,3,0,2,False
2017-11-12,32,1,3,0,2,False
2017-11-19,28,1,4,0,3,False
2017-11-26,67,3,7,0,5,False
2017-12-03,94,5,8,0,6,False
2017-12-10,89,16,10,0,9,False
2017-12-17,100,9,9,0,10,False
2017-12-24,64,5,6,0,8,False
2017-12-31,49,4,7,0,11,False
2018-01-07,47,4,10,0,11,False
2018-01-14,58,3,8,0,10,False
2018-01-21,40,2,5,0,6,False
2018-01-28,41,2,5,0,6,False
2018-02-04,49,2,4,0,6,False
2018-02-11,28,3,3,0,4,False
2018-02-18,25,3,3,0,4,False
2018-02-25,20,2,2,0,3,False
2018-03-04,19,1,2,0,3,False
2018-03-11,20,1,2,0,3,False
2018-03-18,18,1,2,0,2,False
2018-03-25,19,1,2,0,2,False
2018-04-01,17,1,2,0,2,False
2018-04-08,16,1,2,0,2,False
2018-04-15,15,1,2,0,2,False
2018-04-22,15,1,2,0,2,False
2018-04-29,13,1,2,0,2,False
2018-05-06,13,1,2,0,2,False
2018-05-13,12,1,2,0,2,False
2018-05-20,12,0,1,0,2,False
2018-05-27,11,0,1,0,1,False
2018-06-03,10,0,1,0,1,False
2018-06-10,13,1,1,0,2,False
2018-06-17,11,0,1,0,1,False
2018-06-24,11,1,1,0,1,False
2018-07-01,10,0,1,0,1,False
2018-07-08,9,0,1,0,1,False
2018-07-15,11,0,1,0,1,False
2018-07-22,12,0,1,0,1,False
2018-07-29,11,0,1,0,1,False
2018-08-05,11,1,1,0,1,False
2018-08-12,11,0,2,0,1,False
2018-08-19,10,0,1,0,1,False
2018-08-26,10,0,1,0,1,False
2018-09-02,11,0,1,0,1,False
2018-09-09,10,0,1,0,1,False
2018-09-16,9,0,1,0,1,False
2018-09-23,9,0,1,0,1,False
2018-09-30,8,0,1,0,1,False
2018-10-07,9,0,1,0,1,False
2018-10-14,8,0,1,0,1,False
2018-10-21,8,0,1,0,1,False
2018-10-28,8,0,1,0,1,False
2018-11-04,8,0,1,0,1,False
2018-11-11,10,0,1,0,1,False
2018-11-18,14,0,1,0,1,False
2018-11-25,14,0,1,0,1,False
2018-12-02,12,0,1,0,1,False
2018-12-09,11,0,1,0,1,False
2018-12-16,12,0,1,0,1,False
2018-12-23,10,0,1,0,1,False
2018-12-30,9,0,1,0,1,False
2019-01-06,9,0,1,0,1,False
2019-01-13,8,0,1,0,1,False
2019-01-20,7,0,1,0,1,False
2019-01-27,8,0,1,0,1,False
2019-02-03,8,0,1,0,1,False
2019-02-10,7,0,1,0,1,False
2019-02-17,9,0,1,0,1,False
2019-02-24,8,0,1,0,1,False
2019-03-03,7,0,1,0,1,False
2019-03-10,7,0,1,0,1,False
2019-03-17,7,0,1,0,1,False
2019-03-24,7,0,1,0,1,False
2019-03-31,12,1,1,0,1,False
2019-04-07,10,1,1,0,1,False
2019-04-14,9,0,1,0,1,False
2019-04-21,10,0,1,0,1,False
2019-04-28,9,0,1,0,1,False
2019-05-05,12,0,1,0,1,False
2019-05-12,19,1,1,0,1,False
2019-05-19,14,1,1,0,1,False
2019-05-26,15,1,1,0,1,False
2019-06-02,12,1,1,0,1,False
2019-06-09,11,1,1,0,1,False
2019-06-16,17,1,1,1,2,False
2019-06-23,26,1,2,0,1,False
2019-06-30,18,1,1,0,1,False
2019-07-07,17,1,2,0,1,False
2019-07-14,16,1,3,0,1,False
2019-07-21,13,0,1,0,1,False
2019-07-28,13,1,1,0,1,False
2019-08-04,15,1,1,0,1,False
2019-08-11,13,0,1,0,1,False
2019-08-18,12,0,1,0,1,False
2019-08-25,11,0,1,0,1,False
2019-09-01,12,0,1,0,1,False
2019-09-08,10,0,1,0,1,False
2019-09-15,9,0,1,0,1,False
2019-09-22,13,0,1,0,1,False
2019-09-29,10,0,1,0,1,False
2019-10-06,10,0,1,0,1,False
2019-10-13,9,0,1,0,1,False
2019-10-20,11,0,1,0,1,False
2019-10-27,11,0,1,0,1,False
2019-11-03,9,0,1,0,1,False
2019-11-10,9,0,1,0,1,False
2019-11-17,9,0,1,0,1,True
